"Time","Min.","Max.","Avg"
"1.00E-2","24.97","25.005","24.9875"
"1.25E-2","24.967","25.008","24.9875"
"1.50E-2","24.972","25.008","24.99"
"1.75E-2","24.958","25.01","24.984"
"2.00E-2","24.966","25.009","24.9875"
"2.25E-2","24.969","25.009","24.989"
"2.62E-2","24.96","25.012","24.986"
"2.79E-2","24.964","25.011","24.9875"
"2.96E-2","24.965","25.01","24.9875"
"3.22E-2","24.968","25.009","24.9885"
"3.60E-2","24.967","25.009","24.988"
"4.10E-2","24.971","25.007","24.989"
"4.60E-2","24.976","25.008","24.992"
"5.10E-2","24.982","25.01","24.996"
"5.60E-2","24.974","25.012","24.993"
"6.10E-2","24.962","25.013","24.9875"
"6.60E-2","24.973","25.014","24.9935"
"7.10E-2","24.965","25.015","24.99"
"7.60E-2","24.969","25.016","24.9925"
"8.10E-2","24.956","25.017","24.9865"
"8.60E-2","24.966","25.016","24.991"
"9.10E-2","24.97","25.017","24.9935"
"9.60E-2","24.956","25.017","24.9865"
"0.10095","24.966","25.018","24.992"
"0.10595","24.969","25.02","24.9945"
"0.11095","24.979","25.021","25"
"0.11595","24.964","25.024","24.994"
"0.12095","24.967","25.025","24.996"
"0.12595","24.966","25.027","24.9965"
"0.13095","24.963","25.029","24.996"
"0.13595","24.975","25.028","25.0015"
"0.14095","24.97","25.03","25"
"0.14595","24.982","25.029","25.0055"
"0.15095","24.975","25.032","25.0035"
"0.15595","24.981","25.031","25.006"
"0.16095","24.984","25.03","25.007"
"0.16595","24.987","25.031","25.009"
"0.17095","24.973","25.034","25.0035"
"0.17595","24.974","25.037","25.0055"
"0.18095","24.966","25.036","25.001"
"0.18595","24.951","25.036","24.9935"
"0.19095","24.963","25.034","24.9985"
"0.19595","24.966","25.036","25.001"
"0.20095","24.965","25.036","25.0005"
"0.20595","24.953","25.036","24.9945"
"0.21095","24.955","25.036","24.9955"
"0.21595","24.946","25.034","24.99"
"0.22095","24.952","25.037","24.9945"
"0.22595","24.944","25.033","24.9885"
"0.23095","24.94","25.037","24.9885"
"0.23595","24.941","25.037","24.989"
"0.24095","24.943","25.037","24.99"
"0.24595","24.954","25.039","24.9965"
"0.25095","24.936","25.037","24.9865"
"0.25595","24.929","25.04","24.9845"
"0.26095","24.928","25.038","24.983"
"0.26595","24.92","25.04","24.98"
"0.27095","24.914","25.04","24.977"
"0.27595","24.921","25.041","24.981"
"0.28095","24.935","25.043","24.989"
"0.28595","24.929","25.044","24.9865"
"0.29095","24.923","25.045","24.984"
"0.29595","24.922","25.046","24.984"
"0.30095","24.925","25.047","24.986"
