"Time ","Min","Max","Avg"
"1.00E-2","24.922","25.441","25.029"
"1.50E-2","24.89","25.495","25.033"
"2.00E-2","24.877","25.674","25.05"
"2.50E-2","24.87","25.806","25.061"
"3.00E-2","24.904","25.986","25.075"
"3.50E-2","24.9","26.025","25.092"
"4.00E-2","24.912","26.245","25.114"
"4.50E-2","24.938","26.177","25.127"
"5.00E-2","24.957","26.228","25.142"
"5.50E-2","24.955","26.353","25.15"
"6.00E-2","24.962","26.274","25.163"
"6.50E-2","24.976","26.366","25.177"
"7.00E-2","24.975","26.31","25.18"
"7.50E-2","24.969","26.717","25.2"
"8.00E-2","24.988","27.069","25.21"
"8.50E-2","24.985","27.106","25.226"
"9.50E-2","24.998","27.248","25.248"
"0.1","24.999","27.099","25.261"
"0.105","24.997","27.105","25.275"
"0.11","24.995","26.815","25.279"
"0.115","24.994","26.554","25.283"
"0.12","24.975","26.381","25.284"
"0.125","24.954","26.353","25.289"
"0.13","24.95","26.627","25.301"
"0.135","24.965","26.793","25.309"
"0.14","24.954","27.033","25.314"
"0.145","24.967","27.113","25.329"
"0.15","24.984","27.102","25.338"
"0.155","24.993","27.178","25.355"
"0.16","24.994","27.204","25.369"
"0.165","24.992","26.929","25.367"
"0.17","24.993","27.017","25.382"
"0.175","24.996","27.039","25.387"
"0.18","24.999","27.152","25.394"
"0.185","25","27.147","25.405"
"0.19","24.999","27.296","25.409"
"0.195","25.001","27.134","25.424"
"0.2","25.002","27.2","25.431"
"0.205","25.002","27.304","25.435"
"0.21","25.003","27.283","25.437"
"0.215","25.003","27.228","25.441"
"0.22","25.004","27.15","25.439"
"0.225","25.004","27.238","25.444"
"0.23","25.004","27.239","25.444"
"0.235","25.004","27.327","25.454"
"0.24","25.004","27.259","25.459"
"0.245","25.003","27.197","25.463"
"0.25","25.004","27.234","25.465"
"0.255","25.005","27.177","25.468"
"0.26","25.006","27.166","25.474"
"0.265","25.007","27.138","25.479"
"0.27","25.009","27.125","25.48"
"0.275","25.01","26.976","25.482"
"0.28","25.011","26.912","25.485"
"0.285","25.011","26.805","25.485"
"0.29","25.012","26.689","25.485"
"0.295","25.013","26.77","25.483"
"0.3","25.013","26.704","25.478"
"0.305","25.014","26.652","25.476"
"0.31","25.011","26.69","25.479"
"0.315","25.003","26.584","25.475"
"0.32","25.015","26.666","25.476"
"0.325","25.02","26.616","25.477"
"0.33","25.022","26.661","25.475"
"0.335","25.023","26.705","25.473"
"0.34","25.023","26.79","25.471"
"0.345","25.024","26.808","25.472"
"0.35","25.025","26.786","25.468"
"0.355","25.027","26.7","25.465"
"0.36","25.029","26.63","25.461"
"0.365","25.031","26.618","25.459"
"0.37","25.03","26.573","25.457"
"0.375","25.034","26.503","25.452"
"0.38","25.036","26.542","25.448"
"0.385","25.038","26.537","25.444"
"0.39","25.037","26.537","25.442"
"0.395","25.041","26.47","25.438"
"0.4","25.043","26.374","25.433"
"0.405","25.044","26.317","25.43"
"0.41","25.046","26.263","25.427"
"0.415","25.047","26.203","25.424"
"0.42","25.049","26.166","25.425"
"0.425","25.051","26.135","25.423"
"0.43","25.053","26.097","25.42"
"0.435","25.055","26.052","25.416"
"0.44","25.057","26.028","25.414"
"0.445","25.059","26.005","25.412"
"0.45","25.061","25.981","25.411"
"0.455","25.063","25.961","25.41"
"0.46","25.065","25.944","25.409"
"0.465","25.066","25.926","25.413"
"0.47","25.068","25.905","25.411"
"0.475","25.07","25.893","25.411"
"0.48","25.073","25.88","25.41"
"0.485","25.075","25.869","25.413"
"0.49","25.077","25.853","25.416"
"0.495","25.079","25.864","25.416"
"0.5","25.08","25.857","25.419"
"0.505","25.083","25.926","25.423"
"0.51","25.086","25.934","25.429"
"0.515","25.088","25.991","25.432"
"0.52","25.09","25.942","25.433"
"0.525","25.092","26.038","25.437"
"0.53","25.094","26.088","25.439"
"0.535","25.097","26.081","25.44"
"0.54","25.1","26.083","25.442"
"0.545","25.102","26.021","25.447"
"0.55","25.105","26.198","25.454"
"0.555","25.107","26.193","25.459"
"0.56","25.109","26.248","25.465"
"0.565","25.111","26.281","25.473"
"0.57","25.114","26.415","25.481"
"0.575","25.116","26.46","25.484"
"0.58","25.117","26.556","25.492"
"0.585","25.12","26.583","25.496"
"0.59","25.123","26.598","25.506"
"0.595","25.125","26.901","25.513"
"0.6","25.128","26.823","25.521"
"0.605","25.131","26.637","25.529"
"0.61","25.133","26.707","25.538"
"0.615","25.135","26.766","25.536"
"0.62","25.137","26.704","25.547"
"0.625","25.139","26.747","25.554"
"0.63","25.141","26.85","25.564"
"0.635","25.144","26.874","25.576"
"0.64","25.146","27.005","25.592"
"0.645","25.148","26.971","25.6"
"0.65","25.151","26.993","25.61"
"0.655","25.153","27.055","25.611"
"0.66","25.156","27.016","25.62"
"0.665","25.159","26.994","25.628"
"0.67","25.161","26.927","25.628"
"0.675","25.163","27.175","25.641"
"0.68","25.166","27.571","25.65"
"0.685","25.169","27.635","25.664"
"0.69","25.172","27.674","25.667"
"0.695","25.173","27.599","25.674"
"0.7","25.176","27.533","25.683"
"0.705","25.179","27.469","25.693"
"0.71","25.182","27.261","25.697"
"0.715","25.183","27.028","25.697"
"0.72","25.187","26.873","25.695"
"0.725","25.19","26.854","25.701"
"0.73","25.192","27.128","25.706"
"0.735","25.195","27.236","25.712"
"0.74","25.197","27.374","25.715"
"0.745","25.198","27.361","25.72"
"0.75","25.202","27.421","25.728"
"0.755","25.204","27.536","25.745"
"0.76","25.206","27.571","25.758"
"0.765","25.209","27.312","25.751"
"0.77","25.211","27.302","25.763"
"0.775","25.214","27.353","25.767"
"0.78","25.216","27.46","25.773"
"0.785","25.219","27.459","25.78"
"0.79","25.222","27.61","25.785"
"0.795","25.224","27.45","25.798"
"0.8","25.227","27.492","25.803"
"0.805","25.229","27.567","25.805"
"0.81","25.232","27.553","25.808"
"0.815","25.234","27.548","25.813"
"0.82","25.237","27.474","25.811"
"0.825","25.24","27.55","25.814"
"0.83","25.243","27.563","25.814"
"0.835","25.245","27.685","25.824"
"0.84","25.247","27.587","25.827"
"0.845","25.25","27.559","25.831"
"0.85","25.254","27.612","25.834"
"0.855","25.257","27.564","25.838"
"0.86","25.259","27.554","25.844"
"0.865","25.263","27.534","25.848"
"0.87","25.266","27.526","25.849"
"0.875","25.268","27.378","25.851"
"0.88","25.272","27.309","25.854"
"0.885","25.275","27.204","25.854"
"0.89","25.278","27.098","25.854"
"0.895","25.281","27.113","25.852"
"0.9","25.275","27.063","25.847"
"0.905","25.282","27.019","25.846"
"0.91","25.28","27.075","25.849"
"0.915","25.282","26.973","25.846"
"0.92","25.283","27.062","25.846"
"0.925","25.287","27.013","25.847"
"0.93","25.289","27.059","25.846"
"0.935","25.298","27.098","25.843"
"0.94","25.301","27.199","25.841"
"0.945","25.305","27.218","25.842"
"0.95","25.308","27.207","25.839"
"0.955","25.312","27.123","25.836"
"0.96","25.316","27.05","25.833"
"0.965","25.318","27.043","25.831"
"0.97","25.327","26.945","25.829"
"0.975","25.325","26.9","25.824"
"0.98","25.326","26.937","25.821"
"0.985","25.33","26.918","25.817"
"0.99","25.335","26.916","25.814"
"0.995","25.333","26.862","25.811"
"1","25.335","26.771","25.806"
"1.01","25.218","26.659","25.825"
"1.02","25.151","26.598","25.878"
"1.035","24.974","28.085","26.051"
"1.05","24.846","30.098","26.329"
"1.07","25.146","32.154","26.726"
"1.09","25.294","34.987","27.071"
"1.11","25.579","39.342","27.532"
"1.13","25.645","43.823","28.116"
"1.15","25.68","48.062","28.782"
"1.165","25.691","49.32","29.219"
"1.18","25.732","51.486","29.663"
"1.195","25.769","53.644","30.145"
"1.2062","25.808","54.728","30.522"
"1.2175","25.562","55.013","30.869"
"1.2259","25.166","54.163","31.103"
"1.2323","22.573","53.128","31.247"
"1.2344","17.695","52.104","31.194"
"1.236","18.56","53.347","31.283"
"1.2376","16.135","52.758","31.263"
"1.2388","16.885","54.3","31.361"
"1.2398","13.609","53.363","31.338"
"1.2408","14.577","53.833","31.391"
"1.2418","11.567","52.776","31.345"
"1.2428","12.993","53.334","31.396"
"1.2443","9.3674","52.427","31.352"
"1.2454","11.259","53.141","31.422"
"1.2466","9.6129","52.75","31.407"
"1.2476","9.3266","52.636","31.417"
"5","9.0452","52.743","31.422"
"20","8.065","52.08","31.392"
