"Time","Min","Max","Avg"
"1.00E-2","24.923","25.428","25.028"
"1.50E-2","24.892","25.488","25.033"
"2.00E-2","24.878","25.658","25.049"
"2.50E-2","24.869","25.798","25.06"
"3.00E-2","24.903","25.97","25.074"
"3.50E-2","24.902","26.001","25.09"
"4.00E-2","24.914","26.202","25.111"
"4.50E-2","24.934","26.135","25.123"
"5.00E-2","24.954","26.208","25.138"
"5.50E-2","24.95","26.327","25.146"
"6.00E-2","24.962","26.242","25.159"
"6.50E-2","24.977","26.321","25.172"
"7.00E-2","24.977","26.275","25.175"
"7.50E-2","24.97","26.677","25.194"
"8.00E-2","24.986","27.021","25.205"
"8.50E-2","24.986","27.057","25.22"
"9.00E-2","24.998","27.238","25.229"
"9.50E-2","24.997","27.172","25.239"
"0.1","24.999","27.051","25.253"
"0.105","24.998","27.046","25.268"
"0.11","24.995","26.77","25.272"
"0.115","24.994","26.517","25.275"
"0.12","24.975","26.347","25.276"
"0.125","24.953","26.319","25.281"
"0.13","24.95","26.585","25.292"
"0.135","24.965","26.729","25.301"
"0.14","24.958","26.936","25.305"
"0.145","24.969","27.044","25.318"
"0.15","24.985","27.03","25.327"
"0.155","24.992","27.107","25.343"
"0.16","24.994","27.118","25.356"
"0.165","24.992","26.864","25.355"
"0.17","24.993","26.942","25.368"
"0.175","24.996","26.962","25.374"
"0.18","24.999","27.077","25.381"
"0.185","24.999","27.068","25.39"
"0.19","24.999","27.211","25.395"
"0.195","25.002","27.035","25.408"
"0.2","25.002","27.119","25.415"
"0.205","25.003","27.214","25.418"
"0.21","25.003","27.177","25.421"
"0.215","25.003","27.13","25.425"
"0.22","25.004","27.059","25.423"
"0.225","25.004","27.154","25.427"
"0.23","25.003","27.152","25.427"
"0.235","25.004","27.243","25.437"
"0.24","25.004","27.176","25.443"
"0.245","25.003","27.117","25.446"
"0.25","25.004","27.156","25.448"
"0.255","25.005","27.103","25.451"
"0.26","25.006","27.088","25.457"
"0.265","25.007","27.055","25.462"
"0.275","25.009","26.776","25.453"
"0.28","25.01","26.765","25.458"
