"Time ","Min","Max","Average"
"1.00E-2","24.717","25.854","25.087"
"1.50E-2","24.716","26.13","25.115"
"2.00E-2","24.583","26.472","25.139"
"2.50E-2","24.515","26.63","25.145"
"3.00E-2","24.43","26.467","25.145"
"3.50E-2","24.405","26.3","25.154"
"4.00E-2","24.339","26.768","25.181"
"4.50E-2","24.352","26.67","25.201"
"5.00E-2","24.179","26.521","25.217"
"5.50E-2","24.101","26.629","25.215"
"6.00E-2","24.015","26.983","25.244"
"6.50E-2","23.947","26.758","25.258"
"7.00E-2","23.824","26.783","25.241"
"7.50E-2","23.824","26.9","25.256"
"8.00E-2","23.524","27.382","25.268"
"8.50E-2","23.417","27.539","25.277"
"9.00E-2","23.569","27.551","25.299"
"9.50E-2","23.666","27.306","25.303"
"0.1","23.857","27.238","25.307"
"0.105","23.959","26.981","25.325"
"0.11","23.851","26.714","25.338"
"0.115","23.741","26.547","25.331"
"0.12","23.889","26.496","25.34"
"0.125","23.92","26.959","25.362"
"0.13","23.852","27.256","25.402"
"0.135","23.976","27.452","25.397"
"0.14","23.985","27.73","25.4"
"0.145","23.803","27.789","25.414"
"0.15","23.779","27.935","25.414"
"0.155","23.349","28.127","25.422"
"0.16","23.364","27.297","25.415"
"0.165","23.517","27.02","25.384"
"0.17","23.396","27.303","25.411"
"0.175","23.315","27.263","25.394"
"0.18","23.519","27.189","25.404"
"0.185","23.415","27.624","25.412"
"0.19","23.612","27.61","25.424"
"0.195","23.629","27.552","25.424"
"0.2","23.516","27.203","25.404"
"0.205","23.452","27.184","25.39"
"0.21","23.482","27.442","25.402"
"0.215","23.384","27.116","25.395"
"0.22","23.491","27.175","25.392"
"0.225","23.49","27.132","25.393"
"0.23","23.523","27.374","25.405"
"0.235","23.45","27.31","25.394"
"0.24","23.463","27.595","25.416"
"0.245","23.629","27.707","25.42"
"0.25","23.775","27.704","25.429"
"0.255","23.816","27.606","25.407"
"0.26","23.86","27.485","25.39"
"0.265","23.83","27.389","25.389"
"0.27","23.868","27.379","25.389"
"0.275","23.867","27.082","25.396"
"0.28","24.006","27.294","25.399"
"0.285","23.811","27.304","25.404"
"0.29","23.808","27.108","25.4"
"0.295","23.88","27.003","25.396"
"0.3","23.92","26.882","25.396"
"0.305","23.891","26.694","25.405"
"0.31","23.967","26.751","25.395"
"0.315","24.054","26.616","25.385"
"0.32","24.107","26.651","25.388"
"0.325","24.099","26.715","25.384"
"0.33","24.122","26.739","25.386"
"0.335","24.123","26.698","25.376"
"0.34","23.941","26.768","25.379"
"0.345","23.994","26.913","25.38"
"0.35","24.108","26.851","25.367"
"0.355","24.104","26.815","25.37"
"0.36","24.099","26.758","25.366"
"0.365","24.073","26.707","25.357"
"0.37","24.081","26.661","25.35"
"0.375","24.092","26.596","25.369"
"0.38","24.133","26.704","25.371"
"0.385","24.147","26.758","25.367"
"0.39","24.144","26.839","25.355"
"0.395","24.167","26.865","25.357"
"0.4","24.172","26.831","25.351"
"0.405","24.182","26.732","25.346"
"0.41","24.188","26.671","25.351"
"0.415","24.205","26.671","25.349"
"0.42","24.222","26.696","25.33"
"0.425","24.253","26.698","25.331"
"0.43","24.282","26.528","25.325"
"0.435","24.293","26.624","25.334"
"0.44","24.283","26.531","25.339"
"0.445","24.283","26.599","25.337"
"0.45","24.312","26.62","25.35"
"0.455","24.266","26.434","25.357"
"0.46","24.24","26.166","25.369"
"0.465","24.248","26.411","25.384"
"0.47","24.27","26.238","25.384"
"0.475","24.298","26.192","25.39"
"0.48","24.315","26.361","25.388"
"0.485","24.359","26.287","25.38"
"0.49","24.339","26.299","25.392"
"0.495","24.354","26.279","25.399"
"0.5","24.425","26.29","25.407"
"0.505","24.428","26.279","25.414"
"0.51","24.278","26.403","25.412"
"0.515","24.261","26.329","25.422"
"0.52","24.286","26.264","25.419"
"0.525","24.307","26.16","25.427"
"0.53","24.244","26.245","25.44"
"0.535","24.245","26.321","25.438"
"0.54","24.371","26.414","25.437"
"0.545","24.334","26.224","25.435"
"0.55","24.236","26.453","25.448"
"0.555","24.197","26.544","25.451"
"0.56","24.24","26.468","25.458"
"0.565","24.197","26.401","25.455"
"0.57","24.166","26.464","25.459"
"0.575","24.042","26.37","25.441"
"0.58","23.952","26.46","25.442"
"0.585","23.859","26.541","25.452"
"0.59","23.829","26.66","25.445"
"0.595","23.88","26.763","25.465"
"0.6","23.889","26.776","25.468"
"0.605","23.765","26.945","25.482"
"0.61","23.647","26.654","25.481"
"0.615","23.563","26.711","25.489"
"0.62","23.547","27.213","25.496"
"0.625","23.601","27.296","25.489"
"0.63","23.641","26.991","25.469"
"0.635","23.593","26.801","25.472"
"0.64","23.735","27.152","25.494"
"0.645","23.748","27.092","25.516"
"0.65","23.621","27.403","25.52"
"0.655","23.577","27.381","25.515"
"0.66","23.435","27.347","25.534"
"0.665","23.469","27.081","25.538"
"0.67","23.387","26.938","25.529"
"0.675","23.174","27.309","25.534"
"0.68","23.028","27.621","25.54"
"0.685","23.049","27.661","25.542"
"0.69","23.038","27.304","25.534"
"0.695","23.135","27.282","25.533"
"0.7","23.273","27.348","25.542"
"0.705","23.496","27.086","25.561"
"0.71","23.378","26.917","25.557"
"0.715","23.406","26.837","25.561"
"0.72","23.377","26.792","25.565"
"0.725","23.444","27.462","25.581"
"0.73","23.32","27.695","25.601"
"0.735","23.365","28.233","25.611"
"0.74","23.536","27.864","25.611"
"0.745","23.606","27.821","25.613"
"0.75","23.644","28.011","25.627"
"0.755","23.469","28.056","25.639"
"0.76","23.255","27.507","25.634"
"0.765","23.441","27.417","25.62"
"0.77","23.349","27.402","25.622"
"0.775","23.351","27.474","25.61"
"0.78","23.332","27.138","25.607"
"0.785","23.306","27.302","25.609"
"0.79","23.422","27.621","25.618"
"0.795","23.485","27.525","25.612"
"0.8","23.373","27.222","25.592"
"0.805","23.288","27.311","25.578"
"0.81","23.448","27.547","25.582"
"0.815","23.33","27.446","25.593"
"0.82","23.416","27.325","25.589"
"0.825","23.385","27.549","25.591"
"0.83","23.393","27.699","25.601"
"0.835","23.477","27.488","25.585"
"0.84","23.417","27.784","25.603"
"0.845","23.49","27.919","25.61"
"0.85","23.649","28.008","25.62"
"0.855","23.74","27.897","25.6"
"0.86","23.725","27.864","25.589"
"0.865","23.736","27.751","25.584"
"0.87","23.765","27.758","25.585"
"0.875","23.85","27.472","25.588"
"0.88","23.898","27.276","25.586"
"0.885","23.74","27.108","25.581"
"0.89","23.729","27.091","25.591"
"0.895","23.78","27.005","25.583"
"0.9","23.82","26.943","25.589"
"0.905","23.834","27.078","25.595"
"0.91","23.933","27.1","25.594"
"0.915","24.027","27.018","25.577"
"0.92","24.099","27.049","25.577"
"0.925","24.092","27.126","25.582"
"0.93","24.118","27.149","25.579"
"0.935","24.041","27.048","25.571"
"0.94","23.866","27.139","25.576"
"0.945","23.869","27.239","25.566"
"0.95","24.066","27.23","25.557"
"0.955","24.102","27.213","25.566"
"0.96","24.102","27.151","25.562"
"0.965","24.076","27.114","25.55"
"0.97","24.209","27.001","25.532"
"0.975","24.259","26.93","25.548"
"0.98","24.153","26.98","25.55"
"0.985","24.278","27.05","25.553"
"0.99","24.309","27.023","25.548"
"0.995","24.31","27.027","25.542"
"1","24.266","26.934","25.541"
"1.01","24.381","26.889","25.504"
"1.02","23.973","27.137","25.607"
"1.035","22.705","28.325","25.859"
"1.05","20.587","30.411","26.213"
"1.07","18.108","40.277","27.519"
"1.09","16.886","66.229","29.895"
"1.11","11.988","94.366","33.191"
"1.13","8.5544","123.97","37.582"
"1.15","7.0709","152.25","41.967"
"1.165","8.9392","161.81","44.4"
"1.18","3.5087","177.43","46.989"
"1.195","-3.2052","192.2","49.759"
"1.21","-8.4718","199.35","52.632"
"1.2151","-10.686","191.83","52.41"
"1.2201","-20.79","194.37","53.447"
"1.2252","-20.758","184.53","53.192"
"1.229","-20.051","176.98","53"
"1.2318","-20.975","161.05","51.232"
"1.234","-39.2","169.39","52.552"
"1.2356","-40.402","161.55","50.959"
"1.2368","-40.091","164.24","51.813"
"1.238","-40.46","176.71","54.36"
"1.2398","-39.671","160.03","52.554"
"1.2411","-39.247","170.66","54.022"
